name,alpha3_code,region_code,region_name,subregion_code,subregion_name,intermediate_region_code,intermediate_region_name,m49_code,continent,dev_least_developed,dev_landlocked,dev_sids,developing,currency_code
Antarctica,ATA,,Antarctica,,Antarctica,,,10.0,Antarctica,False,False,False,False,
Algeria,DZA,2.0,Africa,15.0,Northern Africa,,,12.0,Africa,False,False,False,True,DZD
Egypt,EGY,2.0,Africa,15.0,Northern Africa,,,818.0,Africa,False,False,False,True,EGP
Libya,LBY,2.0,Africa,15.0,Northern Africa,,,434.0,Africa,False,False,False,True,LYD
Morocco,MAR,2.0,Africa,15.0,Northern Africa,,,504.0,Africa,False,False,False,True,MAD
Sudan,SDN,2.0,Africa,15.0,Northern Africa,,,729.0,Africa,True,False,False,True,SDG
Tunisia,TUN,2.0,Africa,15.0,Northern Africa,,,788.0,Africa,False,False,False,True,TND
Western Sahara,ESH,2.0,Africa,15.0,Northern Africa,,,732.0,Africa,False,False,False,True,
British Indian Ocean Territory,IOT,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,86.0,Africa,False,False,False,True,
Burundi,BDI,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,108.0,Africa,True,True,False,True,BIF
Comoros,COM,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,174.0,Africa,True,False,True,True,KMF
Djibouti,DJI,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,262.0,Africa,True,False,False,True,DJF
Eritrea,ERI,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,232.0,Africa,True,False,False,True,ETB
Ethiopia,ETH,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,231.0,Africa,True,True,False,True,
French Southern Territories,ATF,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,260.0,Africa,False,False,False,True,
Kenya,KEN,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,404.0,Africa,False,False,False,True,KES
Madagascar,MDG,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,450.0,Africa,True,False,False,True,MGA
Malawi,MWI,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,454.0,Africa,True,True,False,True,MWK
Mauritius,MUS,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,480.0,Africa,False,False,True,True,MUR
Mayotte,MYT,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,175.0,Africa,False,False,False,True,
Mozambique,MOZ,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,508.0,Africa,True,False,False,True,MZN
Réunion,REU,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,638.0,Africa,False,False,False,True,
Rwanda,RWA,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,646.0,Africa,True,True,False,True,RWF
Seychelles,SYC,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,690.0,Africa,False,False,True,True,SCR
Somalia,SOM,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,706.0,Africa,True,False,False,True,SOS
South Sudan,SSD,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,728.0,Africa,True,True,False,True,SSP
Uganda,UGA,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,800.0,Africa,True,True,False,True,UGX
Tanzania,TZA,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,834.0,Africa,True,False,False,True,TZS
Zambia,ZMB,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,894.0,Africa,True,True,False,True,ZMK
Zimbabwe,ZWE,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa,716.0,Africa,False,True,False,True,ZWD
Angola,AGO,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,24.0,Africa,True,False,False,True,AOA
Cameroon,CMR,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,120.0,Africa,False,False,False,True,
Central African Republic,CAF,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,140.0,Africa,True,True,False,True,XAF
Chad,TCD,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,148.0,Africa,True,True,False,True,
Congo,COG,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,178.0,Africa,False,False,False,True,
Democratic Republic of the Congo,COD,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,180.0,Africa,True,False,False,True,CDF
Equatorial Guinea,GNQ,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,226.0,Africa,False,False,False,True,
Gabon,GAB,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,266.0,Africa,False,False,False,True,
Sao Tome and Principe,STP,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa,678.0,Africa,True,False,True,True,STD
Botswana,BWA,2.0,Africa,202.0,Sub-Saharan Africa,18.0,Southern Africa,72.0,Africa,False,True,False,True,BWP
Eswatini,SWZ,2.0,Africa,202.0,Sub-Saharan Africa,18.0,Southern Africa,748.0,Africa,False,True,False,True,SZL
Lesotho,LSO,2.0,Africa,202.0,Sub-Saharan Africa,18.0,Southern Africa,426.0,Africa,True,True,False,True,LSL
Namibia,NAM,2.0,Africa,202.0,Sub-Saharan Africa,18.0,Southern Africa,516.0,Africa,False,False,False,True,NAD
South Africa,ZAF,2.0,Africa,202.0,Sub-Saharan Africa,18.0,Southern Africa,710.0,Africa,False,False,False,True,ZAR
Benin,BEN,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,204.0,Africa,True,False,False,True,XOF
Burkina Faso,BFA,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,854.0,Africa,True,True,False,True,
Cabo Verde,CPV,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,132.0,Africa,False,False,True,True,CVE
Côte d’Ivoire,CIV,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,384.0,Africa,False,False,False,True,
Gambia,GMB,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,270.0,Africa,True,False,False,True,GMD
Ghana,GHA,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,288.0,Africa,False,False,False,True,GHS
Guinea,GIN,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,324.0,Africa,True,False,False,True,GNF
Guinea-Bissau,GNB,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,624.0,Africa,True,False,True,True,
Liberia,LBR,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,430.0,Africa,True,False,False,True,LRD
Mali,MLI,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,466.0,Africa,True,True,False,True,
Mauritania,MRT,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,478.0,Africa,True,False,False,True,MRO
Niger,NER,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,562.0,Africa,True,True,False,True,
Nigeria,NGA,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,566.0,Africa,False,False,False,True,NGN
Saint Helena,SHN,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,654.0,Africa,False,False,False,True,
Senegal,SEN,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,686.0,Africa,True,False,False,True,
Sierra Leone,SLE,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,694.0,Africa,True,False,False,True,SLL
Togo,TGO,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa,768.0,Africa,True,False,False,True,
Anguilla,AIA,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,660.0,South America,False,False,True,True,
Antigua and Barbuda,ATG,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,28.0,South America,False,False,True,True,XCD
Aruba,ABW,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,533.0,South America,False,False,True,True,ANG
Bahamas,BHS,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,44.0,South America,False,False,True,True,BSD
Barbados,BRB,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,52.0,South America,False,False,True,True,BBD
"Bonaire, Sint Eustatius and Saba",BES,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,535.0,South America,False,False,True,True,
British Virgin Islands,VGB,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,92.0,South America,False,False,True,True,
Cayman Islands,CYM,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,136.0,South America,False,False,False,True,KYD
Cuba,CUB,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,192.0,South America,False,False,True,True,CUP
Curaçao,CUW,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,531.0,South America,False,False,True,True,
Dominica,DMA,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,212.0,South America,False,False,True,True,
Dominican Republic,DOM,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,214.0,South America,False,False,True,True,DOP
Grenada,GRD,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,308.0,South America,False,False,True,True,
Guadeloupe,GLP,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,312.0,South America,False,False,False,True,
Haiti,HTI,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,332.0,South America,True,False,True,True,HTG
Jamaica,JAM,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,388.0,South America,False,False,True,True,JMD
Martinique,MTQ,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,474.0,South America,False,False,False,True,
Montserrat,MSR,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,500.0,South America,False,False,True,True,
Puerto Rico,PRI,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,630.0,South America,False,False,True,True,
Saint Barthélemy,BLM,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,652.0,South America,False,False,False,True,
Saint Kitts and Nevis,KNA,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,659.0,South America,False,False,True,True,
Saint Lucia,LCA,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,662.0,South America,False,False,True,True,
Saint Martin (French Part),MAF,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,663.0,South America,False,False,False,True,
Saint Vincent and the Grenadines,VCT,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,670.0,South America,False,False,True,True,
Sint Maarten (Dutch part),SXM,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,534.0,South America,False,False,True,True,
Trinidad and Tobago,TTO,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,780.0,South America,False,False,True,True,TTD
Turks and Caicos Islands,TCA,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,796.0,South America,False,False,False,True,
United States Virgin Islands,VIR,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean,850.0,South America,False,False,True,True,
Belize,BLZ,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,84.0,South America,False,False,True,True,BZD
Costa Rica,CRI,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,188.0,South America,False,False,False,True,CRC
El Salvador,SLV,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,222.0,South America,False,False,False,True,SVC
Guatemala,GTM,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,320.0,South America,False,False,False,True,GTQ
